StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
Clinton St & Grand St,-4,-1,2,-4,4,9,3,0,3,-4,-2,-2,0,-1,2,0,-6,1,0,-4,-1,5,4,6,8,7,8,14,16,14,13,8,7,18,17,11,12,15,16,10,12,9,12,14,15,7,10,14
Madison St & Clinton St,0,3,0,6,2,-3,-2,1,-2,-2,-2,-4,3,-4,3,5,-1,1,-3,2,0,0,-1,4,5,11,8,16,6,11,7,12,11,10,8,8,7,13,21,11,8,18,11,8,12,12,13,6
W 44 St & 5 Ave,-8,-2,2,-7,-7,0,4,0,-2,3,6,-8,1,-3,-1,7,3,-7,-1,6,7,-9,0,5,28,14,24,23,27,24,22,22,22,19,32,26,28,17,19,19,21,25,19,30,35,21,22,29
E 51 St & 1 Ave,5,1,3,-3,0,-3,-2,1,2,-4,9,6,0,-3,1,4,1,4,2,8,4,0,-4,0,17,17,11,19,18,17,6,14,10,14,11,12,20,17,15,14,15,18,16,24,8,12,20,8
Broadway & W 32 St,7,12,4,4,-6,-6,2,-1,5,12,6,1,-3,11,4,-5,5,2,-3,6,3,6,-3,-12,27,34,38,34,28,36,38,36,31,26,20,34,31,31,36,19,37,34,45,32,31,34,29,30
11 Ave & W 41 St,3,-6,0,4,0,8,-12,-7,6,-1,4,0,-1,-10,1,-2,7,1,-1,5,-4,-10,-7,1,25,14,18,14,21,22,24,27,22,21,22,24,17,28,23,22,23,25,30,24,18,17,23,19
Sullivan St & Washington Sq,-1,-3,-9,-1,-1,-10,2,5,0,0,1,8,2,4,6,1,1,-2,8,0,-13,-6,-2,5,37,23,25,21,33,28,40,27,24,36,37,33,28,20,40,21,27,29,32,24,43,28,31,31
St Marks Pl & 2 Ave,-7,1,3,10,-6,-7,0,3,1,5,4,3,6,5,6,-9,3,-1,0,1,4,-1,-1,-1,21,23,26,28,24,34,26,23,23,29,22,27,26,27,20,21,29,23,21,32,20,31,26,31
Atlantic Ave & Fort Greene Pl,-1,-3,1,3,-3,2,1,3,1,1,2,-2,-1,-4,1,3,-4,1,-1,0,-4,3,3,-2,3,13,3,9,3,6,1,5,1,5,2,4,3,6,5,5,5,1,3,6,6,5,5,4
Putnam Ave & Throop Ave,-1,1,-2,0,0,1,3,3,1,0,0,1,-2,3,-2,-1,-3,-3,1,-1,3,-1,-2,0,1,5,2,2,2,5,3,5,3,0,4,1,4,3,2,5,3,3,1,1,3,1,2,2
Centre St & Chambers St,16,-2,5,-2,0,10,11,6,-9,2,-4,3,3,-6,4,-13,-8,-7,4,-10,5,-3,13,-1,30,26,34,50,29,37,40,27,30,31,42,33,29,37,46,29,32,40,28,45,42,29,24,33
Little West St & 1 Pl,4,-4,-11,-1,-7,2,-2,7,-11,4,6,-4,-6,-7,-3,-4,2,4,0,0,0,8,1,3,32,18,27,21,15,16,20,17,17,28,18,22,23,15,29,31,18,16,25,19,22,26,21,23
Bialystoker Pl & Delancey St,5,0,6,-1,-2,-5,-5,5,10,2,-7,9,-12,-2,4,-3,-6,0,-3,1,-2,-8,-4,-4,15,14,18,7,20,21,15,17,16,16,17,19,26,10,18,11,12,20,11,23,20,18,22,22
Norfolk St & Broome St,7,3,-2,6,0,0,-4,7,-4,-3,4,-2,1,-1,3,1,5,0,-2,3,2,6,5,5,19,17,14,14,22,17,14,15,21,21,18,22,11,7,11,17,9,6,16,15,16,18,15,18
9 Ave & W 16 St,-5,-6,0,-6,9,3,-7,3,2,2,4,-1,-9,9,-6,0,10,-9,-7,-6,0,2,2,3,25,24,32,30,29,25,28,31,32,28,34,32,33,31,27,32,36,23,26,26,34,30,28,37
E 32 St & Park Ave,-4,1,4,1,1,-1,0,-5,0,-1,-1,8,3,0,7,-1,-8,6,5,-9,-1,-1,10,-1,42,38,34,31,37,35,36,59,44,43,37,34,39,46,48,57,60,50,45,31,39,29,36,37
Myrtle Ave & Lewis Ave,0,-2,-1,0,0,1,-1,3,0,3,4,1,1,0,2,2,1,-1,3,-1,-3,-1,0,-2,6,4,1,6,4,3,5,3,2,5,6,7,1,4,6,2,5,7,4,3,5,1,2,2
DeKalb Ave & Hudson Ave,-7,3,6,0,3,1,2,1,1,17,2,1,8,2,0,9,1,1,2,5,6,6,7,6,19,11,8,16,9,7,11,13,19,29,18,17,18,12,20,17,13,17,14,9,16,12,11,14
E 45 St & 3 Ave,3,2,-1,4,2,-3,0,-7,3,3,2,-9,2,-1,-6,8,8,-1,2,10,2,3,3,-2,7,20,19,18,30,21,22,27,23,29,16,17,20,17,14,26,12,33,24,26,22,19,27,24
E 33 St & 2 Ave,2,0,-8,1,-4,-5,4,-5,-6,-6,-9,14,-7,-4,-6,-6,3,5,2,-3,3,2,-2,-7,20,30,36,37,37,43,38,33,40,34,45,34,26,22,38,30,33,35,26,33,25,42,36,37
N 11 St & Wythe Ave,0,0,-3,0,2,3,1,1,0,0,2,0,1,-4,-4,-3,2,2,1,1,-2,2,-2,0,4,5,5,4,6,3,10,3,4,4,4,6,5,6,4,7,6,6,3,1,4,8,6,2
Devoe St & Leonard St,1,-1,2,0,-1,1,1,0,2,-1,0,-1,1,1,-4,1,-1,3,1,2,-1,-2,0,2,1,3,2,4,1,5,5,2,5,1,2,1,5,3,4,7,1,3,1,4,1,4,0,2
