Row Labels,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM
1 Ave & E 15 St,220,130,84,53,28,42,281,527,933,390,294,381,481,568,469,529,637,1041,1049,897,590,408,369,287
1 Ave & E 18 St,107,76,39,16,10,47,181,533,491,248,235,279,347,332,408,399,549,779,772,494,330,200,203,146
1 Ave & E 30 St,88,44,34,9,16,100,370,463,903,741,470,433,431,410,478,544,536,602,636,463,342,239,202,157
1 Ave & E 44 St,37,22,6,4,5,14,113,266,744,419,160,197,270,278,274,284,307,571,302,145,140,116,76,33
10 Ave & W 28 St,108,87,46,35,28,19,48,182,412,678,359,302,285,295,329,306,320,606,598,354,300,165,210,124
11 Ave & W 27 St,73,54,29,10,10,68,214,390,658,441,381,474,670,713,687,730,782,797,888,490,328,230,195,134
11 Ave & W 41 St,78,60,37,16,80,48,180,327,296,194,228,362,264,262,348,411,542,700,691,450,312,198,123,98
12 Ave & W 40 St,35,11,17,7,9,13,99,328,641,397,283,293,362,468,470,521,735,1292,715,376,162,121,117,68
2 Ave & E 31 St,204,127,46,32,15,45,388,556,718,503,462,568,646,745,789,995,1010,1714,1892,1332,1046,691,597,420
2 Ave & E 58 St,65,42,23,12,7,80,137,232,382,375,246,260,273,296,311,351,392,597,675,502,326,273,161,104
3 Ave & Schermerhorn St,9,6,0,1,1,16,6,35,85,60,48,35,59,48,36,32,60,113,116,83,62,58,26,44
5 Ave & E 29 St,60,37,35,12,10,14,126,382,920,979,528,499,646,608,578,613,613,703,529,294,251,171,98,85
6 Ave & Broome St,47,29,14,4,8,29,52,121,546,526,249,249,387,396,392,375,525,645,549,256,168,121,103,54
6 Ave & Canal St,35,43,21,7,3,12,45,136,573,522,262,242,355,298,301,280,265,563,611,385,184,113,76,54
6 Ave & W 33 St,103,68,40,30,59,64,82,278,608,546,389,419,482,505,539,687,886,1335,1300,641,440,314,225,143
7 Ave & Farragut St,0,0,1,0,0,1,1,12,53,58,20,22,41,31,30,53,24,38,28,17,3,1,8,2
8 Ave & W 31 St,246,88,59,36,43,172,1117,1412,1830,1568,848,734,853,964,1037,1311,1927,2549,2187,1182,814,590,504,274
8 Ave & W 33 St,106,39,33,15,51,135,781,595,1134,971,554,600,625,639,646,808,1271,1685,1317,784,523,398,371,196
8 Ave & W 52 St,140,71,39,24,24,31,179,330,519,567,407,428,485,464,513,547,635,1034,990,618,507,338,298,195
9 Ave & W 14 St,182,113,64,47,26,15,46,190,586,611,540,576,650,718,764,779,773,1014,1054,693,495,336,263,206
9 Ave & W 16 St,87,55,34,29,17,39,142,246,562,415,306,436,605,622,698,697,730,1034,972,667,398,270,193,145
9 Ave & W 18 St,101,45,43,22,26,19,43,176,563,796,452,338,361,350,372,365,347,503,598,429,315,227,201,120
9 Ave & W 22 St,92,59,32,13,18,32,168,370,422,460,446,503,635,696,683,753,907,1083,1059,777,462,407,275,176
9 Ave & W 45 St,159,86,49,32,16,36,143,264,367,322,230,263,366,396,357,404,589,1115,1044,651,516,486,407,292
Adelphi St & Myrtle Ave,25,19,7,9,0,9,76,181,240,77,79,71,60,76,92,105,159,259,316,196,122,99,67,50
Allen St & E Houston St,207,126,99,65,38,58,81,201,419,304,211,363,420,500,479,568,603,758,858,564,430,376,353,245
Allen St & Hester St,97,60,36,29,24,26,88,207,413,484,378,404,421,495,441,494,521,619,637,538,395,298,244,233
Allen St & Rivington St,217,137,97,41,26,25,57,257,557,316,369,462,495,520,547,565,608,781,924,763,620,500,415,321
Ashland Pl & Hanson Pl,37,10,15,12,4,27,94,330,324,255,137,84,140,158,168,226,276,403,477,346,218,194,152,121
Atlantic Ave & Fort Greene Pl,45,27,14,8,6,12,78,109,222,191,165,219,232,222,252,300,285,417,383,325,253,188,153,151
Atlantic Ave & Furman St,24,8,4,1,12,7,4,23,54,82,90,98,129,157,149,168,230,230,216,121,104,80,72,77
Avenue D & E 12 St,17,9,2,1,2,0,33,20,163,148,56,31,42,49,28,40,53,88,75,60,79,77,41,21
Avenue D & E 3 St,18,10,6,5,2,3,77,126,261,195,90,99,123,93,110,133,185,199,177,161,144,119,57,38
Avenue D & E 8 St,31,7,3,1,5,5,17,74,211,176,89,59,79,73,72,62,95,136,185,178,157,109,62,30
Bank St & Hudson St,99,56,27,18,6,17,64,282,407,251,258,298,383,413,406,508,513,708,651,387,269,231,183,121
Bank St & Washington St,69,33,13,11,9,32,132,283,435,289,242,281,352,366,388,429,515,569,587,288,213,161,132,109
Barclay St & Church St,75,31,17,9,82,64,440,744,1613,981,425,405,434,423,421,549,900,1703,1381,769,403,297,168,111
Barrow St & Hudson St,79,56,28,10,6,43,204,468,847,1126,717,524,585,530,582,570,753,1289,1461,913,511,325,249,161
Bayard St & Baxter St,86,50,31,32,26,33,39,98,315,376,284,301,494,493,376,375,469,527,506,399,310,221,187,123
Bedford Ave & S 9th St,4,7,4,4,2,6,18,4,27,30,20,28,41,40,47,45,41,69,51,22,38,21,14,12
Bialystoker Pl & Delancey St,27,23,11,4,9,9,35,157,258,201,139,118,136,151,212,203,241,215,283,200,119,128,88,68
Bond St & Schermerhorn St,12,9,5,5,5,11,28,94,179,138,87,91,97,110,108,130,118,199,248,192,135,98,68,67
Broad St & Bridge St,12,6,3,3,0,3,70,160,380,130,56,85,156,145,112,146,233,396,147,90,67,33,25,16
Broadway & Battery Pl,25,26,25,10,4,10,107,337,497,315,254,249,402,423,438,450,519,766,521,250,172,128,93,63
Broadway & Berry St,37,22,11,5,3,3,26,32,106,81,75,79,97,106,82,94,121,114,141,121,104,70,65,48
Broadway & E 14 St,182,110,44,34,25,58,262,630,1100,1161,889,895,1051,1195,1133,1139,1236,1523,1632,1203,957,746,448,328
Broadway & E 22 St,76,31,24,14,28,40,255,587,1145,862,763,853,1172,1131,1101,1233,1297,1712,1347,866,489,284,181,139
Broadway & W 24 St,63,38,26,17,24,62,181,496,1156,792,547,776,959,1172,1071,1049,1082,1328,1074,696,402,300,179,88
Broadway & W 29 St,55,42,13,3,9,57,269,385,741,704,440,442,519,526,538,493,590,853,638,437,211,146,118,65
Broadway & W 32 St,80,79,42,30,24,37,80,238,476,518,330,397,468,493,451,516,697,1368,1140,691,403,301,218,138
Broadway & W 36 St,34,27,15,9,1,19,130,131,439,393,206,232,247,262,267,242,284,452,411,251,184,127,59,29
Broadway & W 37 St,41,12,9,3,0,7,29,104,313,377,224,258,321,311,284,296,302,468,388,217,152,98,74,44
Broadway & W 39 St,34,22,15,6,4,30,58,178,575,560,208,219,300,273,260,243,258,433,318,144,73,54,67,52
Broadway & W 41 St,82,56,30,14,26,42,125,449,1060,1035,513,417,469,477,465,449,682,1386,975,600,287,147,160,85
Broadway & W 49 St,32,16,12,12,11,110,277,615,981,928,418,359,456,484,430,453,528,672,501,373,168,134,135,69
Broadway & W 51 St,31,9,9,10,10,9,181,635,1127,838,331,306,319,364,296,288,401,474,265,194,120,87,54,50
Broadway & W 53 St,61,37,20,18,27,54,136,361,899,857,442,432,533,504,475,534,591,637,477,331,205,153,118,105
Broadway & W 55 St,79,33,25,6,17,32,119,388,668,672,370,351,443,442,392,407,474,675,505,411,256,193,165,102
Broadway & W 58 St,73,34,23,11,9,51,210,307,687,719,511,546,610,645,706,720,779,1034,878,535,372,262,189,131
Broadway & W 60 St,147,55,38,23,31,99,252,310,604,616,596,771,837,859,923,1059,1189,1580,1298,855,610,475,416,265
Cadman Plaza E & Red Cross Pl,4,1,0,0,0,0,8,9,50,20,17,33,37,44,38,27,26,39,30,12,8,3,1,8
Cadman Plaza E & Tillary St,6,3,1,4,0,0,9,42,148,137,95,165,138,163,162,136,159,199,127,92,29,28,8,17
Canal St & Rutgers St,114,61,53,33,16,47,77,329,599,422,307,289,350,318,331,421,437,635,525,424,377,279,195,167
Carlton Ave & Park Ave,12,11,2,6,1,13,33,73,154,103,45,53,56,66,86,55,59,107,86,61,55,29,33,15
Carmine St & 6 Ave,237,102,75,36,28,68,141,363,426,610,587,605,787,830,833,795,843,1103,1140,904,732,509,466,351
Catherine St & Monroe St,17,9,12,6,10,4,62,147,270,213,170,112,160,134,183,167,199,275,255,198,143,129,100,62
Central Park S & 6 Ave,17,10,10,5,9,25,50,85,243,431,560,625,795,740,835,809,792,864,694,290,147,105,82,55
Centre St & Chambers St,63,29,17,4,2,29,240,464,875,585,418,596,639,760,779,906,919,1215,889,516,289,187,149,99
Centre St & Worth St,40,13,10,9,3,3,47,130,451,372,240,281,338,346,310,313,477,430,250,164,112,67,84,53
Cherry St,15,20,4,10,24,14,36,155,174,100,104,109,115,142,134,185,217,344,257,125,125,89,57,42
Christopher St & Greenwich St,96,74,38,16,18,56,222,493,916,478,500,575,683,730,869,910,975,1141,1006,636,525,415,306,218
Church St & Leonard St,38,32,13,7,11,16,65,147,431,355,268,235,311,305,338,284,410,515,520,334,234,160,107,79
Clark St & Henry St,47,14,17,5,4,29,66,135,226,119,100,116,147,148,147,191,208,308,420,289,209,173,121,89
Clermont Ave & Lafayette Ave,30,9,2,7,8,0,44,105,153,81,32,62,52,83,77,64,62,95,116,101,81,59,38,35
Clermont Ave & Park Ave,28,9,4,0,0,9,32,36,112,47,31,26,44,37,36,42,45,61,71,67,48,45,32,23
Cleveland Pl & Spring St,184,132,82,45,31,36,150,273,995,1015,724,768,971,961,970,1068,1129,1330,1559,1016,677,483,373,291
Cliff St & Fulton St,78,42,24,15,11,40,188,288,530,537,323,259,338,392,349,360,468,780,662,484,376,194,182,117
Clinton Ave & Flushing Ave,3,8,8,1,11,8,23,40,72,139,58,45,67,81,46,48,52,58,73,39,23,18,47,14
Clinton Ave & Myrtle Ave,48,26,12,11,5,15,56,189,266,166,102,110,90,128,147,138,189,311,273,228,167,160,105,76
Clinton St & Grand St,63,47,27,15,18,26,49,232,394,241,184,191,256,272,290,370,340,534,552,375,301,178,113,94
Clinton St & Joralemon St,18,13,5,5,1,26,34,92,218,164,76,71,94,65,93,93,131,160,207,163,121,85,65,33
Clinton St & Tillary St,17,10,3,2,1,6,8,64,114,129,84,107,128,138,159,199,178,205,181,120,70,71,39,28
Columbia Heights & Cranberry St,10,9,4,3,1,1,9,16,59,55,39,49,77,74,92,81,103,115,82,61,44,44,30,30
Columbia St & Rivington St,21,8,4,4,9,12,68,98,337,234,148,156,132,163,164,192,208,291,226,184,136,73,65,21
Concord St & Bridge St,15,7,5,0,1,13,29,115,70,41,32,41,38,50,35,33,36,95,107,86,57,39,26,32
Cumberland St & Lafayette Ave,45,14,6,3,2,10,38,109,138,70,57,70,59,83,68,66,97,123,158,168,144,114,112,72
Dean St & 4 Ave,37,20,11,7,8,4,26,89,230,181,107,166,175,174,197,193,253,347,332,225,178,132,130,73
DeKalb Ave & Hudson Ave,66,43,16,15,4,21,159,342,379,158,120,101,95,136,146,166,181,245,375,292,239,150,106,75
DeKalb Ave & S Portland Ave,16,10,1,2,2,2,69,103,129,65,73,70,70,109,95,99,107,100,107,113,71,73,57,37
DeKalb Ave & Skillman St,11,16,6,2,3,0,11,64,72,34,26,39,35,37,27,65,38,78,92,52,53,44,26,26
DeKalb Ave & Vanderbilt Ave,63,30,21,11,3,11,46,118,124,54,44,68,89,98,83,118,92,139,173,150,129,116,83,66
Division St & Bowery,66,47,27,19,46,19,94,161,215,256,239,309,349,301,287,345,333,430,419,289,239,221,175,122
Duane St & Greenwich St,27,24,12,4,5,6,53,142,471,429,249,229,284,264,310,268,289,454,476,294,215,145,94,54
Duffield St & Willoughby St,13,5,4,0,0,4,20,80,227,96,75,87,73,61,75,55,114,143,118,59,36,37,20,18
E 10 St & 5 Ave,67,42,26,7,7,40,66,223,349,375,359,411,411,448,414,473,455,664,738,508,404,314,224,151
E 10 St & Avenue A,100,77,46,11,16,23,139,385,561,441,397,391,492,520,584,561,652,763,813,537,324,255,199,125
E 11 St & 1 Ave,152,61,25,22,13,39,152,375,557,238,278,331,446,508,523,617,707,920,859,595,351,306,256,201
E 11 St & 2 Ave,189,109,60,33,30,36,127,221,595,293,287,332,489,566,481,667,705,938,989,756,509,505,381,265
E 11 St & Broadway,59,22,28,10,8,12,44,146,497,506,380,465,438,421,404,466,442,583,548,389,263,171,141,69
E 12 St & 3 Ave,170,100,75,27,15,41,122,248,545,385,348,359,496,540,518,645,695,791,941,778,529,435,352,266
E 13 St & Avenue A,154,91,61,39,23,57,138,401,651,301,331,329,391,417,409,487,569,840,891,592,464,321,246,230
E 14 St & Avenue B,70,34,19,14,11,69,209,481,443,193,226,220,220,260,305,358,419,749,627,442,330,263,178,78
E 15 St & 3 Ave,87,65,42,31,11,34,136,350,687,405,270,283,354,393,403,486,537,773,815,610,487,339,273,177
E 16 St & 5 Ave,17,8,6,3,5,16,126,191,374,399,217,289,270,326,315,343,346,461,408,200,98,75,48,36
E 16 St & Irving Pl,92,39,35,13,7,41,190,390,769,815,505,391,468,496,472,529,556,775,860,636,466,299,220,174
E 17 St & Broadway,128,87,25,10,13,70,243,679,1464,1185,1040,1105,1357,1435,1469,1579,1883,2502,2250,1394,976,505,323,177
