StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
Clinton St & Grand St,-1,0,0,0,-1,1,-16,-39,-35,-11,2,3,-6,4,0,10,15,17,24,23,6,5,1,-1,3,4,6,0,3,1,18,55,59,31,22,19,38,26,28,39,67,86,80,67,28,33,15,5
Madison St & Clinton St,4,3,1,0,0,-9,-10,-11,-31,-21,-10,-3,-3,0,2,4,-1,27,7,21,10,14,6,2,4,3,1,0,0,9,12,42,66,29,19,17,23,27,28,44,37,57,28,42,27,28,11,10
W 44 St & 5 Ave,-3,0,0,0,0,10,97,101,10,-5,4,-14,-1,-5,7,-39,-68,-66,-8,-6,-2,0,-3,3,3,0,0,0,0,10,105,147,74,37,52,68,105,118,95,110,191,182,60,48,12,12,5,5
E 51 St & 1 Ave,2,0,0,0,0,-5,-1,-3,5,32,9,-4,10,-3,-7,7,4,3,-7,-40,-9,1,-4,5,6,2,0,0,0,5,17,43,91,97,41,30,34,35,31,43,54,97,78,78,49,35,26,11
Broadway & W 32 St,-4,0,-2,0,1,4,-7,9,8,6,4,28,-1,-8,-12,-1,33,12,-27,-6,-7,-3,-2,-1,22,10,4,2,5,6,25,51,154,98,74,80,87,80,83,63,138,318,257,139,75,35,36,29
11 Ave & W 41 St,-3,3,0,1,0,-2,0,-54,-64,-4,6,-7,5,11,-11,21,26,43,44,-11,3,-5,0,0,16,9,0,1,10,6,46,108,117,34,30,49,43,57,69,89,84,158,154,97,37,56,16,14
Sullivan St & Washington Sq,-19,-4,-6,1,-2,-2,-4,12,37,17,30,12,22,8,-5,0,-10,1,13,-4,-10,-31,-18,-19,31,8,10,1,2,2,20,49,155,125,115,88,86,102,95,86,117,132,175,114,99,83,69,46
St Marks Pl & 2 Ave,4,-1,-2,3,-1,2,-17,-20,-99,-46,-57,-21,5,-2,4,-3,19,51,66,22,-1,18,20,4,22,7,8,3,3,8,25,41,146,93,73,83,80,70,74,75,65,129,146,100,88,85,80,50
Atlantic Ave & Fort Greene Pl,-1,0,0,0,0,0,-2,-4,6,-3,-10,6,2,7,-3,0,-2,-8,-2,-1,1,-5,-2,-4,5,0,0,0,0,0,6,6,18,21,18,16,12,19,16,18,29,34,32,23,11,17,18,10
Putnam Ave & Throop Ave,2,0,0,0,0,0,-1,-7,-8,-22,-2,-4,4,-2,-3,3,4,4,2,3,6,7,4,3,2,0,0,0,0,0,1,7,16,22,4,5,11,3,11,7,8,10,12,5,8,9,4,5
Centre St & Chambers St,-4,3,-1,0,0,12,3,15,87,9,0,0,-4,-2,-34,19,7,-38,-26,-27,-4,-5,0,1,4,9,1,0,6,12,37,113,207,125,96,93,124,130,149,171,199,200,164,83,35,20,15,9
Little West St & 1 Pl,3,3,0,0,-5,-1,0,-2,-18,26,1,6,-5,6,20,-25,-12,3,-1,2,9,5,5,4,3,3,0,0,7,11,18,40,133,83,45,51,56,62,79,116,100,130,107,94,46,33,15,6
Bialystoker Pl & Delancey St,3,6,2,0,0,-3,-4,-9,-93,-96,-46,-39,-11,-13,1,-9,2,34,46,38,40,30,25,21,9,8,2,2,4,3,6,48,119,113,58,55,27,31,54,53,43,65,83,54,53,44,35,27
Norfolk St & Broome St,-3,3,0,2,3,2,6,-6,-8,-30,-3,3,10,1,20,-9,-5,9,-1,22,11,-1,1,11,15,5,0,2,3,4,18,30,92,68,25,21,34,31,59,49,61,74,83,60,55,49,43,24
9 Ave & W 16 St,-6,-2,0,0,3,3,17,49,38,-5,0,5,-11,-8,-9,-7,-40,-29,3,-5,-3,9,-8,2,20,12,2,2,3,5,23,63,108,73,42,70,105,96,134,149,177,149,177,107,71,51,30,42
E 32 St & Park Ave,8,-1,0,-1,-3,7,14,12,64,43,23,8,-8,-2,-12,-29,-47,-55,-10,-10,1,-4,-4,0,15,1,2,1,5,7,87,166,314,240,105,107,130,112,115,145,169,235,148,106,68,56,36,16
Myrtle Ave & Lewis Ave,1,-2,0,1,1,0,-1,4,7,9,-2,0,0,-1,-1,2,-6,6,0,-2,1,3,3,-6,5,2,0,1,1,0,3,12,25,17,10,4,9,5,17,8,16,16,18,10,25,5,13,6
DeKalb Ave & Hudson Ave,-3,-1,0,0,1,8,32,67,95,37,5,6,1,-2,19,4,-7,0,-22,-25,-18,-7,-9,-2,7,1,0,2,1,10,34,97,141,61,26,29,41,16,29,32,21,48,88,51,26,31,17,10
E 45 St & 3 Ave,-1,1,0,0,0,4,42,86,8,4,-8,2,-7,-2,-11,-26,-56,-13,-9,-5,5,-3,-3,2,5,3,0,0,0,6,60,138,110,80,54,40,58,80,75,80,122,125,83,49,37,19,19,12
E 33 St & 2 Ave,3,4,3,5,-1,-8,26,-13,-29,7,-5,0,0,-3,-9,-1,-28,16,6,-31,16,3,14,9,21,10,7,5,1,8,86,141,180,111,63,56,69,85,85,87,138,186,165,170,122,76,56,39
N 11 St & Wythe Ave,-8,-6,-6,-3,0,1,-2,-1,13,16,1,3,-2,1,2,-9,-4,3,-4,-7,8,-6,-5,-4,8,6,6,3,0,1,2,3,25,30,9,5,10,9,12,15,18,23,28,15,16,14,15,12
Devoe St & Leonard St,3,0,0,0,-1,0,0,2,2,-2,7,1,-5,0,0,-1,-1,4,-3,0,-4,1,-1,1,7,0,0,0,1,0,4,6,24,16,11,7,9,6,6,3,6,14,13,22,14,7,5,1
