name,latitude,longitude,AM_12,AM_1,AM_2,AM_3,AM_4,AM_5,AM_6,AM_7,AM_8,AM_9,AM_10,AM_11,PM_12,PM_1,PM_2,PM_3,PM_4,PM_5,PM_6,PM_7,PM_8,PM_9,PM_10,PM_11,AM_PK,PM_PK
1 Ave & E 15 St,40.73221853,-73.98165557,36,2,-4,-5,-8,6,-43,-119,-489,-134,-46,-39,9,-28,23,35,73,209,281,227,84,50,53,37,-785,790
1 Ave & E 18 St,40.73416059,-73.98024289,39,34,17,6,6,-17,-87,-113,-243,-70,-43,-19,3,2,20,21,53,231,284,38,20,20,17,40,-513,606
1 Ave & E 30 St,40.74144387,-73.97536082,4,0,6,5,12,50,266,33,-51,-87,-32,-35,-63,-52,-142,-58,-14,42,42,-41,4,73,54,41,161,29
1 Ave & E 44 St,40.75001986,-73.96905301,3,2,2,2,-5,4,89,124,322,81,0,-5,-42,0,-4,-86,-103,-273,-8,-5,32,-2,20,3,616,-389
10 Ave & W 28 St,40.75066386,-74.00176802,24,-27,-16,-13,-14,9,22,-32,16,318,143,-24,-11,-33,37,-32,-6,-172,-142,10,64,-1,-2,22,324,-310
11 Ave & W 27 St,40.751396,-74.005226,-7,2,-5,8,-10,60,146,118,148,55,3,6,-26,-53,-13,-86,-118,-63,-34,-30,-2,-2,11,6,467,-245
11 Ave & W 41 St,40.76030096,-73.99884222,22,8,11,0,4,8,-114,-171,-140,-18,-40,6,-38,12,40,83,116,212,91,8,14,44,23,14,-443,427
12 Ave & W 40 St,40.76087502,-74.00277668,9,-1,5,1,7,5,9,-32,-269,-149,-61,-53,30,2,30,97,177,402,55,22,24,39,35,32,-441,656
2 Ave & E 31 St,40.74290902,-73.97706058,-14,-13,10,14,9,-23,156,-94,-268,-45,-14,-24,44,-15,27,-111,8,184,70,-66,-54,31,-25,-50,-251,196
2 Ave & E 58 St,40.76020258,-73.96478473,7,10,3,2,-1,-30,-35,24,12,-43,-20,-2,33,0,9,-41,4,7,-9,-42,-4,-39,7,-2,-42,-40
3 Ave & Schermerhorn St,40.68683208,-73.9796772,-3,0,0,-1,1,16,0,-13,-49,-2,2,-1,17,10,-6,6,18,15,32,15,-6,-16,-4,-16,-64,80
5 Ave & E 29 St,40.7451677,-73.98683077,6,-3,1,2,-2,0,30,70,250,185,50,-25,-64,-36,-74,-79,-167,-103,-43,2,-27,-19,-18,-11,535,-311
6 Ave & Broome St,40.724399,-74.004704,-1,3,2,0,2,13,30,19,296,304,9,-15,7,-10,16,3,-37,-189,-227,-36,-4,3,-3,-10,649,-489
6 Ave & Canal St,40.72243797,-74.00566443,-9,-13,-1,1,-1,6,33,98,365,292,68,-24,-23,10,29,-24,-35,-273,-261,-143,-50,-11,-6,4,788,-712
6 Ave & W 33 St,40.74901271,-73.98848395,15,-4,-6,-8,13,-26,-26,20,56,-18,29,49,8,-1,43,93,140,87,-184,-129,-14,-24,-25,-11,32,-86
7 Ave & Farragut St,40.69892054,-73.97332996,0,0,-1,0,0,1,1,12,47,54,8,-10,-13,-11,-4,-19,-6,-28,-22,1,-1,1,0,-2,114,-55
8 Ave & W 31 St,40.75044999,-73.99481051,10,6,-5,2,11,-36,-693,-618,-678,-670,-176,10,5,22,233,321,925,869,365,140,-22,-14,-28,-26,-2659,2299
8 Ave & W 33 St,40.751551,-73.993934,-14,-17,-3,7,-9,-77,-593,-189,-250,-193,-52,-68,-115,-27,50,66,407,263,-127,-122,-109,-58,-63,-68,-1225,421
8 Ave & W 52 St,40.76370739,-73.9851615,-24,-3,3,-6,2,-9,33,2,41,11,-59,34,37,-24,-5,39,15,-26,-48,40,-39,-32,-20,-11,87,-19
9 Ave & W 14 St,40.7405826,-74.00550867,-46,-49,-38,-23,-16,5,8,98,272,77,46,84,70,2,-12,-23,-23,-38,-42,-43,-65,-6,-19,-28,455,-146
9 Ave & W 16 St,40.74206539,-74.00443172,-21,-11,-14,-17,-1,19,122,70,166,55,32,24,-13,-12,4,-7,-58,-142,14,25,-38,-54,3,13,413,-161
9 Ave & W 18 St,40.74317449,-74.00366443,-17,-11,-13,-8,-22,-17,-31,-34,35,166,62,28,19,20,-22,5,9,3,-34,31,-7,1,-33,-16,136,9
9 Ave & W 22 St,40.7454973,-74.00197139,8,5,-8,-1,2,-4,-82,-160,-74,-22,-34,37,49,34,7,61,159,211,81,-1,-10,13,-11,16,-338,450
